symbol,last_bar_date,report_start_date,primary_fill_mode,stance,position,last_signal_action,last_signal_date,current_price,entry_date,entry_price,days_in_trade,unrealized_pct,unrealized_pnl,realized_pnl,current_equity_live,cash_live,shares_live,total_return_pct_live,annualized_return_pct_live,alpha_over_buy_hold_pct_live,max_drawdown_pct_live,time_in_market_pct_live,total_closed_trades_live,win_pct_long_live,total_return_pct_backtest_style,annualized_return_pct_backtest_style,alpha_over_buy_hold_pct_backtest_style,max_drawdown_pct_backtest_style,time_in_market_pct_backtest_style,total_closed_trades_backtest_style,win_pct_long_backtest_style,last_q_hold,last_q_long,last_q_close,last_q_hold_masked,last_q_long_masked,last_q_close_masked,overwatch_enabled,overwatch_override_count,overwatch_override_pct,overwatch_review_count,saved_model_last_trained_date,saved_model_timestamp_utc
CME,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,302.3699951171875,2026-05-14,297.3299865722656,3,1.6950892182201378,1623379.8645093807,-4230417.664154456,97392962.20035492,0.0,322098.63337335765,-2.6070377996450813,-15.691670329240337,-5.478470675403357,8.30374158185719,87.17948717948718,2.0,50.0,-2.6070377996450813,-15.691670329240337,-5.478470675403357,8.30374158185719,84.61538461538461,3.0,66.66666666666666,0.15270137786865234,0.15891814231872559,0.15200649201869965,0.15270137786865234,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 00:03:16
COST,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,1094.3199462890625,2026-05-14,1034.949951171875,3,5.7365088089489475,5824620.256120519,1535976.8476971835,107360597.1038177,0.0,98107.13719318299,7.360597103817701,58.23612005769019,-4.89346632401079,5.037459107141375,61.53846153846154,2.0,50.0,7.360597103817701,58.23612005769019,-4.89346632401079,5.037459107141375,58.97435897435898,3.0,66.66666666666666,0.1899884045124054,0.19517852365970612,0.19229544699192047,0.1899884045124054,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 00:51:20
CSCO,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,115.37999725341797,2026-03-26,81.627685546875,34,41.34909801792698,41349098.01792748,0.0,141349098.01792747,0.0,1225074.5482986239,41.34909801792747,1027.3305868627563,-0.4145542831946625,6.231753295120326,97.22222222222221,0.0,0.0,41.34909801792747,1027.3305868627563,-0.4145542831946625,6.231753295120326,94.44444444444444,1.0,100.0,0.12653358280658722,0.12911103665828705,0.11970782279968262,0.12653358280658722,-1000000000.0,0.11970782279968262,False,0,0.0,0,2025-08-18,2026-05-14 01:40:07
CVX,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,HOLD,2026-05-19,197.25,,,0,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,3.8508379875802397,0.0,0.0,0.0,0.0,0.0,0.0,3.8508379875802397,0.0,0.0,0.0,0.0,0.25546008348464966,0.24700334668159485,0.25191226601600647,0.25546008348464966,0.24700334668159485,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 02:28:48
DUK,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,124.55999755859375,2026-05-06,127.04000091552734,9,-1.9521436862887005,-1977691.886920568,1308725.4186920382,99331033.53177148,0.0,797455.3265790293,-0.668966468228519,-4.244369533837499,2.1400269779693635,6.9344851019284866,87.17948717948718,2.0,50.0,-0.668966468228519,-4.244369533837499,2.1400269779693635,6.9344851019284866,84.61538461538461,3.0,33.33333333333333,0.1530323475599289,0.15550333261489868,0.1456010937690735,0.1530323475599289,-1000000000.0,0.1456010937690735,False,0,0.0,0,2025-08-21,2026-05-14 03:17:47
EXC,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,LONG,2026-05-19,44.619998931884766,,,0,0.0,0.0,-3561229.884935186,96438770.11506481,96438770.11506481,0.0,-3.5612298849351856,-20.88815446752863,2.836922735610693,8.414480905227741,76.92307692307693,3.0,33.33333333333333,-3.5612298849351856,-20.88815446752863,2.836922735610693,8.414480905227741,76.92307692307693,3.0,33.33333333333333,0.20176512002944946,0.2094348520040512,0.1961681991815567,0.20176512002944946,0.2094348520040512,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 04:06:40
FCX,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,LONG,2026-05-19,58.70000076293945,,,0,0.0,0.0,13817437.332697272,113817437.33269727,113817437.33269727,0.0,13.817437332697272,130.77849794495097,10.770919769721136,16.41190607701463,84.61538461538461,3.0,66.66666666666666,13.817437332697272,130.77849794495097,10.770919769721136,16.41190607701463,84.61538461538461,3.0,66.66666666666666,0.2551247179508209,0.2691563665866852,0.2592187225818634,0.2551247179508209,0.2691563665866852,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 04:55:35
FDX,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,374.9700012207031,2026-05-01,403.0,12,-6.955334684689034,-6955334.684689051,0.0,93044665.31531094,0.0,248138.95781637717,-6.95533468468906,-37.23770999914689,-11.836184075844079,11.215883922340259,33.33333333333333,0.0,0.0,-6.95533468468906,-37.23770999914689,-11.836184075844079,11.215883922340259,30.76923076923077,1.0,0.0,0.291748046875,0.29443359375,0.248046875,0.291748046875,-inf,0.248046875,False,0,0.0,0,2025-08-21,2026-05-14 11:32:02
GOOGL,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,387.6600036621094,2026-04-08,320.44500732421875,29,20.975516797452816,20975516.797452886,0.0,120975516.79745288,0.0,312066.02603991376,20.97551679745288,242.2575102999474,-12.273035576494411,3.71566033393942,76.92307692307693,0.0,0.0,20.97551679745288,242.2575102999474,-12.273035576494411,3.71566033393942,74.35897435897436,1.0,100.0,0.885547935962677,0.8369579315185547,0.8166319727897644,0.885547935962677,-1000000000.0,0.8166319727897644,False,0,0.0,0,2025-08-21,2026-05-14 11:51:37
GS,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,CLOSE,2026-05-19,928.739990234375,2026-05-06,935.9299926757812,9,-0.768220112366562,-865467.4209229988,12658781.902605757,111793314.48168275,0.0,120370.94951997363,11.793314481682748,105.51369300762899,1.470692533721417,4.365929974819418,84.61538461538461,2.0,100.0,11.793314481682748,105.51369300762899,1.470692533721417,4.365929974819418,82.05128205128204,3.0,66.66666666666666,0.08818655461072922,0.08656104654073715,0.09678035229444504,0.08818655461072922,-1000000000.0,0.09678035229444504,False,0,0.0,0,2025-08-21,2026-05-14 12:39:48
