Date,primary_live,open_positions,symbols_reporting,close_t,open_t_plus_1,hl2_t_plus_1,aggregate_initial_cash,model_symbol_allocation,portfolio_return_pct,drawdown_pct,benchmark_SPY,benchmark_DIA,benchmark_IWF,benchmark_QQQ
2026-04-10,1053834.5618950105,30.0,45,1052497.9029590723,1053834.5618950105,1053248.8433631107,1000000.0,22222.222222222223,5.383456189501046,-0.033186623930958614,1053279.3775850576,1043412.9451591476,1056611.8226981845,1064971.5588010817
2026-04-13,1055548.8464973052,23.0,45,1055609.0617541757,1055548.8464973052,1056641.815076126,1000000.0,22222.222222222223,5.554884649730529,0.0,1063572.4426408734,1049683.2302263388,1071196.8909427428,1075986.05463795
2026-04-14,1062965.3420169768,28.0,45,1064259.0333898675,1062965.3420169768,1064005.5365767109,1000000.0,22222.222222222223,6.29653420169769,0.0,1076531.9460259594,1056998.5406357103,1090493.6679729456,1095522.7516294853
2026-04-15,1064741.2443298975,30.0,45,1066230.3185370672,1064741.2443298975,1066044.897728315,1000000.0,22222.222222222223,6.474124432989736,0.0,1085026.8540862538,1055322.0973212356,1110240.3146341667,1110859.4587263556
2026-04-16,1070333.7295546362,30.0,45,1071919.3865596496,1070333.7295546362,1071576.8434235337,1000000.0,22222.222222222223,7.033372955463624,0.0,1087693.1031856379,1057303.3424649737,1110997.9974081556,1116209.7548392587
2026-04-17,1080347.5356967417,31.0,45,1081366.9936465463,1080347.5356967417,1081579.1196239444,1000000.0,22222.222222222223,8.034753569674159,0.0,1100838.6195490558,1076462.5616162918,1127998.0982061212,1130814.410207452
2026-04-23,1082022.8793751413,32.0,45,1083197.89977626,1082022.8793751413,1084278.508074835,1000000.0,22222.222222222223,8.202287937514141,0.0,1098218.826386783,1073805.2722669109,1120042.5735924505,1135293.4137150669
2026-04-24,1083748.286348257,32.0,45,1092143.76284158,1083748.286348257,1085684.3718428712,1000000.0,22222.222222222223,8.374828634825704,0.0,1106729.2512977622,1072084.5352543585,1134461.957438691,1157008.714521632
2026-04-27,1085304.53861726,30.0,45,1093397.5590701262,1085304.53861726,1087547.0382965147,1000000.0,22222.222222222223,8.530453861725995,0.0,1108635.9316331344,1071256.8549652072,1136356.0921170572,1157618.6512569175
2026-04-28,1079288.79364647,29.0,45,1088379.009114245,1079288.79364647,1081493.186563902,1000000.0,22222.222222222223,7.92887936464699,-0.5542909622818448,1103241.366031627,1070363.8647488605,1127713.9852300272,1145976.773685708
2026-04-29,1079446.073261009,29.0,45,1089056.8533229535,1079446.073261009,1081583.012973459,1000000.0,22222.222222222223,7.9446073261009165,-0.5397992128287843,1103070.86990398,1064374.1064361602,1125133.1960216956,1152982.85550169
2026-04-30,1092334.7396884863,28.0,45,1101880.4560898351,1092334.7396884863,1095766.995312022,1000000.0,22222.222222222223,9.233473968848639,0.0,1114046.0140853266,1081755.3260012853,1129584.4197415165,1163735.8890966095
2026-05-01,1092422.4014941836,29.0,45,1102347.0884342804,1092422.4014941836,1095773.1204335731,1000000.0,22222.222222222223,9.242240149418368,0.0,1117130.934308372,1078204.9799285035,1136971.7184029988,1174907.2835530357
2026-05-04,1087231.8502068522,30.0,45,1095983.717198405,1087231.8502068522,1090704.8587013818,1000000.0,22222.222222222223,8.723185020685209,-0.4751414178464253,1113038.4595551868,1066312.5875440666,1134793.3984919323,1172693.8961118395
2026-05-05,1096310.412067452,31.0,45,1105099.9746136083,1096310.412067452,1099782.6054288202,1000000.0,22222.222222222223,9.631041206745206,0.0,1121967.460974884,1073718.0815188934,1140381.2186293427,1187908.4882153182
2026-05-06,1107233.3154357404,33.0,45,1116780.032142715,1107233.3154357404,1111661.1628031167,1000000.0,22222.222222222223,10.723331543574034,0.0,1137562.1797579844,1086982.7804590834,1159606.967415522,1212586.566818867
2026-05-07,1099645.8698211198,35.0,45,1108829.3177685,1099645.8698211198,1104623.368363266,1000000.0,22222.222222222223,9.964586982111978,-0.6852616796157895,1134074.2944918491,1080143.5275434642,1162448.1694330708,1211140.0147325145
2026-05-08,1122181.9245022587,34.0,45,1132968.8134817074,1122181.9245022587,1127238.8551300645,1000000.0,22222.222222222223,12.218192450225862,0.0,1143437.2946560062,1080622.7108687626,1170024.8526597477,1239530.1551168896
2026-05-11,1133654.9731142258,34.0,45,1145138.0203308326,1133654.9731142258,1138519.9849837269,1000000.0,22222.222222222223,13.36549731142258,0.0,1146041.570967594,1082757.1882653092,1169835.3958379473,1243120.3146482145
2026-05-12,1131187.6526693972,33.0,45,1140934.0847761042,1131187.6526693972,1136488.8092264507,1000000.0,22222.222222222223,13.118765266939715,-0.21764297809683253,1144305.3867598686,1084456.1774711479,1168225.3741356754,1232576.4082980754
2026-05-13,1137476.4089420442,33.0,45,1147342.3974100824,1137476.4089420442,1143041.6485198156,1000000.0,22222.222222222223,13.747640894204416,0.0,1150707.6015064593,1082822.631206613,1177317.3506537238,1245595.164331359
2026-05-14,1149150.967979581,35.0,45,1158670.2068250305,1149150.967979581,1154722.984725404,1000000.0,22222.222222222223,14.915096797958105,0.0,1159791.5822031184,1090794.432747701,1192281.2602852765,1254448.5013522534
2026-05-15,1133370.6366792812,32.0,45,1142084.6650470935,1133370.6366792812,1138239.543919868,1000000.0,22222.222222222223,13.337063667928128,-1.373216552046641,1145840.0411385775,1079561.3912983101,1177885.6488625186,1235521.7410960032
2026-05-18,1132692.1523408426,30.0,45,1141437.7212163862,1132692.1523408426,1137587.2155821554,1000000.0,22222.222222222223,13.269215234084264,-1.4322587803825337,1145034.0164374541,1083135.4803894307,1175328.4875644573,1230206.2286092665
2026-05-19,1127415.7194614355,26.0,45,1137474.3589237845,1127415.7194614355,1132016.2938512675,1000000.0,22222.222222222223,12.741571946143537,-1.8914180228521427,1137407.105866079,1076532.1945020081,1165573.5566833206,1222625.1000561113
2026-05-20,1136744.1486794068,26.0,45,1147226.546576201,1136744.1486794068,1142236.7701097522,1000000.0,22222.222222222223,13.674414867940676,-1.0796509462971393,1149064.4237878998,1090174.5870028322,1180632.1947257735,1242876.4037772678
