symbol,status,entry_step,entry_date,entry_price,capital_at_entry,exit_step,exit_date,exit_price,holding_days,trade_return_pct,realized_pnl,capital_after_exit,unrealized_pct,unrealized_pnl,current_price,current_date
AVGO,CLOSED,34,2026-04-14 00:00:00,377.8999938964844,117718621.93333656,44.0,2026-04-28 00:00:00,400.30499267578125,10,5.928816920127843,6979321.575324983,124697943.50866152,0.0,0.0,400.30499267578125,2026-04-28 00:00:00
AVGO,OPEN,50,2026-05-06 00:00:00,435.55999755859375,124697943.50866152,,,,9,,0.0,,-5.622644497117857,-7011322.058708891,411.07000732421875,2026-05-19 00:00:00
AXP,OPEN,22,2026-03-26 00:00:00,297.62908935546875,100000000.0,,,,37,,0.0,,3.9246527375467815,3924652.737546781,309.30999755859375,2026-05-19 00:00:00
CAT,OPEN,22,2026-03-26 00:00:00,710.0700073242188,100000000.0,,,,37,,0.0,,21.13594653228563,21135946.53228563,860.1500244140625,2026-05-19 00:00:00
CME,CLOSED,22,2026-03-26 00:00:00,297.54998779296875,100000000.0,32.0,2026-04-10 00:00:00,300.8599853515625,10,1.1124173061290235,1112417.3061290234,101112417.30612904,0.0,0.0,300.8599853515625,2026-04-10 00:00:00
CME,CLOSED,33,2026-04-13 00:00:00,297.1199951171875,101112417.30612904,53.0,2026-05-11 00:00:00,281.4200134277344,20,-5.284054236491503,-5342834.970283479,95769582.33584556,0.0,0.0,281.4200134277344,2026-05-11 00:00:00
CME,OPEN,56,2026-05-14 00:00:00,297.3299865722656,95769582.33584556,,,,3,,0.0,,1.6950892182201378,1623379.8645093758,302.3699951171875,2026-05-19 00:00:00
COST,CLOSED,32,2026-04-10 00:00:00,1026.510009765625,100000000.0,42.0,2026-04-24 00:00:00,1010.53369140625,10,-1.5563723887137473,-1556372.3887137473,98443627.61128625,0.0,0.0,1010.53369140625,2026-04-24 00:00:00
COST,CLOSED,45,2026-04-29 00:00:00,986.9379272460938,98443627.61128625,55.0,2026-05-13 00:00:00,1017.9400024414062,10,3.141238606750004,3092349.2364109308,101535976.84769717,0.0,0.0,1017.9400024414062,2026-05-13 00:00:00
COST,OPEN,56,2026-05-14 00:00:00,1034.949951171875,101535976.84769717,,,,3,,0.0,,5.7365088089489475,5824620.256120512,1094.3199462890625,2026-05-19 00:00:00
CSCO,OPEN,25,2026-03-26 00:00:00,81.627685546875,100000000.0,,,,34,,0.0,,41.34909801792698,41349098.017926976,115.37999725341797,2026-05-19 00:00:00
DUK,CLOSED,22,2026-03-26 00:00:00,128.3300018310547,100000000.0,32.0,2026-04-10 00:00:00,132.41000366210938,10,3.1793047399983556,3179304.739998356,103179304.73999834,0.0,0.0,132.41000366210938,2026-04-10 00:00:00
DUK,CLOSED,33,2026-04-13 00:00:00,131.8300018310547,103179304.73999834,47.0,2026-05-01 00:00:00,129.44000244140625,14,-1.8129404205814266,-1870579.3213063178,101308725.41869202,0.0,0.0,129.44000244140625,2026-05-01 00:00:00
DUK,OPEN,50,2026-05-06 00:00:00,127.04000091552734,101308725.41869202,,,,9,,0.0,,-1.9521436862887005,-1977691.8869205522,124.55999755859375,2026-05-19 00:00:00
EXC,CLOSED,22,2026-03-26 00:00:00,47.935001373291016,100000000.0,32,2026-04-10 00:00:00,49.20000076293945,10,2.6389889504692556,2638988.9504692554,102638988.95046926,0.0,0.0,49.20000076293945,2026-04-10 00:00:00
EXC,CLOSED,34,2026-04-14 00:00:00,47.959999084472656,102638988.95046926,44,2026-04-28 00:00:00,46.90999984741211,10,-2.18932288804087,-2247098.8771463633,100391890.07332289,0.0,0.0,46.90999984741211,2026-04-28 00:00:00
