symbol,last_bar_date,report_start_date,primary_fill_mode,stance,position,last_signal_action,last_signal_date,current_price,entry_date,entry_price,days_in_trade,unrealized_pct,unrealized_pnl,realized_pnl,current_equity_live,cash_live,shares_live,total_return_pct_live,annualized_return_pct_live,alpha_over_buy_hold_pct_live,max_drawdown_pct_live,time_in_market_pct_live,total_closed_trades_live,win_pct_long_live,total_return_pct_backtest_style,annualized_return_pct_backtest_style,alpha_over_buy_hold_pct_backtest_style,max_drawdown_pct_backtest_style,time_in_market_pct_backtest_style,total_closed_trades_backtest_style,win_pct_long_backtest_style,last_q_hold,last_q_long,last_q_close,last_q_hold_masked,last_q_long_masked,last_q_close_masked,overwatch_enabled,overwatch_override_count,overwatch_override_pct,overwatch_review_count,saved_model_last_trained_date,saved_model_timestamp_utc
CME,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,290.1199951171875,2026-05-14,297.3299865722656,4,-2.4249123131499966,-2300506.4728904716,-5130323.252717033,92569170.2743925,0.0,319072.0110035892,-7.430829725607499,-39.28148146958935,-4.923943580135315,11.30551343220589,82.05128205128204,2.0,0.0,-7.430829725607499,-39.28148146958935,-4.923943580135315,11.30551343220589,79.48717948717949,3.0,0.0,0.1580161601305008,0.16270777583122253,0.15836571156978607,0.1580161601305008,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 00:03:16
COST,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,1074.010009765625,2026-05-14,1034.949951171875,4,3.774101206490441,3837630.8493873165,1683305.2274172748,105520936.0768046,0.0,98249.4903374614,5.520936076804593,41.51533014461373,-4.270152020838619,5.037462251336366,64.1025641025641,2.0,50.0,5.520936076804593,41.51533014461373,-4.270152020838619,5.037462251336366,61.53846153846154,3.0,66.66666666666666,0.19353732466697693,0.19895067811012268,0.19532470405101776,0.19353732466697693,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 00:51:20
CSCO,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,114.3499984741211,2026-03-27,81.53319549560547,37,40.24962198407152,40249621.98407201,0.0,140249621.984072,0.0,1226494.3056891456,40.249621984072,789.6331973204715,0.31581848522344025,6.020126476610824,97.43589743589743,0.0,0.0,40.249621984072,789.6331973204715,0.31581848522344025,6.020126476610824,94.87179487179486,1.0,100.0,0.1241145208477974,0.12681563198566437,0.11699174344539642,0.1241145208477974,-1000000000.0,0.11699174344539642,False,0,0.0,0,2025-08-18,2026-05-14 01:40:07
CVX,2026-05-20,2026-03-26,open_t_plus_1,FLAT,0,HOLD,2026-05-20,191.3300018310547,,,0,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,7.078092474283264,0.0,0.0,0.0,0.0,0.0,0.0,7.078092474283264,0.0,0.0,0.0,0.0,0.2556675374507904,0.24715346097946167,0.2521005868911743,0.2556675374507904,0.24715346097946167,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 02:28:48
DUK,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,123.80999755859375,2026-05-06,125.95161437988281,10,-1.7003488457319114,-1724810.535977945,1438627.7443844527,99713817.20840651,0.0,805377.7495732233,-0.286182791593492,-1.8347911335214961,3.192045597565919,5.11637412014044,87.17948717948718,2.0,50.0,-0.286182791593492,-1.8347911335214961,3.192045597565919,5.11637412014044,84.61538461538461,3.0,33.33333333333333,0.15118934214115143,0.15388935804367065,0.14310970902442932,0.15118934214115143,-1000000000.0,0.14310970902442932,False,0,0.0,0,2025-08-21,2026-05-14 03:17:47
EXC,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,44.869998931884766,2026-05-20,44.709999084472656,0,0.35786144193340447,336451.8013740851,-5982662.016801223,94353789.78457285,0.0,2102825.7639989546,-5.646210215427145,-31.307936914486135,1.6471833438823371,8.825674743847287,79.48717948717949,3.0,33.33333333333333,-5.646210215427145,-31.307936914486135,1.6471833438823371,8.825674743847287,76.92307692307693,4.0,50.0,0.21558399498462677,0.22128178179264069,0.21608160436153412,0.21558399498462677,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 04:06:40
FCX,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,60.869998931884766,2026-05-20,59.189998626708984,0,2.838317864764516,3077179.1577674677,8415593.474155053,111492772.63192251,0.0,1831653.927851815,11.492772631922513,101.96981653167269,2.2252993737427436,18.186568653663265,84.61538461538461,3.0,66.66666666666666,11.492772631922513,101.96981653167269,2.2252993737427436,18.186568653663265,82.05128205128204,4.0,75.0,0.21546828746795654,0.22253915667533875,0.2237178385257721,0.21546828746795654,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 04:55:35
FDX,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,386.8399963378906,2026-05-01,403.0,13,-4.009926467024648,-4009926.467024659,0.0,95990073.53297535,0.0,248138.95781637717,-4.009926467024654,-23.236510023715027,-14.677931000615999,11.215883922340259,35.8974358974359,0.0,0.0,-4.009926467024654,-23.236510023715027,-14.677931000615999,11.215883922340259,33.33333333333333,1.0,0.0,0.2978515625,0.30078125,0.2462158203125,0.2978515625,-inf,0.2462158203125,False,0,0.0,0,2025-08-21,2026-05-14 11:32:02
GOOGL,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,388.9100036621094,2026-04-08,320.44500732421875,30,21.36559933000271,21365599.330002777,0.0,121365599.33000278,0.0,312066.02603991376,21.365599330002784,249.45156143411816,-17.075944551723897,3.71566033393942,79.48717948717949,0.0,0.0,21.365599330002784,249.45156143411816,-17.075944551723897,3.71566033393942,76.92307692307693,1.0,100.0,0.8600839972496033,0.9276070594787598,0.791387677192688,0.8600839972496033,-1000000000.0,0.791387677192688,False,0,0.0,0,2025-08-21,2026-05-14 11:51:37
GS,2026-05-20,2026-03-26,open_t_plus_1,FLAT,0,HOLD,2026-05-20,982.1199951171875,,,0,0.0,0.0,10590191.037548214,110590191.03754821,110590191.03754821,0.0,10.590191037548214,91.63575664774422,-8.7961720895731,4.3659299748194025,82.05128205128204,3.0,100.0,10.590191037548214,91.63575664774422,-8.7961720895731,4.3659299748194025,82.05128205128204,3.0,100.0,0.06985487788915634,0.06755336374044418,0.07868527621030807,0.06985487788915634,0.06755336374044418,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 12:39:48
